fips,county,n,nDTP,nPolio,nPBE,nPME,Cases,Rates,year,n2,nDTP2,nPBE2,nPME2
6001,ALAMEDA,17721,16559,16479,216,24,423,30.21,2010,314033841,274200481,46656,576
6001,ALAMEDA,19576,18235,18256,259,25,206,14.59,2011,383219776,332515225,67081,625
6001,ALAMEDA,19286,17463,17432,307,19,62,4.35,2012,371949796,304956369,94249,361
6001,ALAMEDA,19633,17948,18098,347,45,124,8.55,2013,385454689,322130704,120409,2025
6001,ALAMEDA,20718,18945,19076,314,38,354,24.41,2014,429235524,358913025,98596,1444
6003,ALPINE,13,13,13,0,0,0,0,2010,169,169,0,0
6003,ALPINE,12,12,12,0,0,0,0,2011,144,144,0,0
6003,ALPINE,19,16,16,2,0,0,0,2012,361,256,4,0
6003,ALPINE,12,10,10,1,0,0,0,2013,144,100,1,0
6005,AMADOR,311,298,298,12,0,4,10.56,2010,96721,88804,144,0
6005,AMADOR,315,285,287,13,3,11,29.48,2011,99225,81225,169,9
6005,AMADOR,282,256,256,22,0,1,2.74,2012,79524,65536,484,0
6005,AMADOR,291,245,246,28,0,2,5.52,2013,84681,60025,784,0
6005,AMADOR,266,252,254,7,0,1,2.76,2014,70756,63504,49,0
6007,BUTTE,2497,2252,2242,120,10,32,14.55,2010,6235009,5071504,14400,100
6007,BUTTE,2562,2305,2314,106,4,16,7.26,2011,6563844,5313025,11236,16
6007,BUTTE,2625,2374,2363,149,4,3,1.36,2012,6890625,5635876,22201,16
6007,BUTTE,2661,2352,2358,188,3,33,14.87,2013,7080921,5531904,35344,9
6007,BUTTE,2707,2411,2447,160,15,30,13.52,2014,7327849,5812921,25600,225
6009,CALAVERAS,394,311,307,22,2,9,19.8,2010,155236,96721,484,4
6009,CALAVERAS,392,318,320,24,0,5,11.08,2011,153664,101124,576,0
6009,CALAVERAS,395,315,317,43,1,0,0,2012,156025,99225,1849,1
6009,CALAVERAS,443,349,357,48,0,2,4.39,2013,196249,121801,2304,0
6009,CALAVERAS,401,340,340,34,0,17,37.35,2014,160801,115600,1156,0
6011,COLUSA,369,360,362,5,0,11,51.2,2010,136161,129600,25,0
6011,COLUSA,383,378,379,4,0,1,4.65,2011,146689,142884,16,0
6011,COLUSA,399,390,391,3,2,0,0,2012,159201,152100,9,4
6011,COLUSA,426,422,422,1,0,0,0,2013,181476,178084,1,0
6011,COLUSA,396,393,393,2,0,0,0,2014,156816,154449,4,0
6013,CONTRA COSTA,13868,13038,13001,289,45,205,19.48,2010,192321424,169989444,83521,2025
6013,CONTRA COSTA,14357,13680,13703,251,22,114,10.74,2011,206123449,187142400,63001,484
6013,CONTRA COSTA,14583,13852,13857,307,10,24,2.24,2012,212663889,191877904,94249,100
6013,CONTRA COSTA,14786,14067,14122,338,15,69,6.37,2013,218625796,197880489,114244,225
6013,CONTRA COSTA,14603,13907,13991,274,23,463,42.78,2014,213247609,193404649,75076,529
6015,DEL NORTE,309,284,283,22,0,16,56.06,2010,95481,80656,484,0
6015,DEL NORTE,361,316,320,31,1,0,0,2011,130321,99856,961,1
6015,DEL NORTE,286,252,249,33,0,0,0,2012,81796,63504,1089,0
6015,DEL NORTE,316,278,277,24,0,0,0,2013,99856,77284,576,0
6015,DEL NORTE,320,288,291,25,0,2,7.16,2014,102400,82944,625,0
6017,EL DORADO,2512,2189,2178,191,8,54,29.85,2010,6310144,4791721,36481,64
6017,EL DORADO,2550,2274,2279,165,6,11,6.09,2011,6502500,5171076,27225,36
6017,EL DORADO,2427,2145,2139,197,3,3,1.64,2012,5890329,4601025,38809,9
6017,EL DORADO,2190,1847,1865,195,10,4,2.18,2013,4796100,3411409,38025,100
6017,EL DORADO,2157,1963,1970,164,4,33,18,2014,4652649,3853369,26896,16
6019,FRESNO,15689,15147,15091,184,16,550,58.99,2010,246144721,229431609,33856,256
6019,FRESNO,16460,15725,15751,221,12,58,6.17,2011,270931600,247275625,48841,144
6019,FRESNO,17232,16465,16499,254,5,16,1.69,2012,296941824,271096225,64516,25
6019,FRESNO,17749,16859,16923,278,12,44,4.59,2013,315027001,284225881,77284,144
6019,FRESNO,17895,17192,17268,173,26,391,40.78,2014,320231025,295564864,29929,676
6021,GLENN,464,449,448,1,0,1,3.55,2010,215296,201601,1,0
6021,GLENN,475,461,462,6,1,1,3.54,2011,225625,212521,36,1
6021,GLENN,378,370,371,4,0,0,0,2012,142884,136900,16,0
6021,GLENN,488,474,479,5,1,0,0,2013,238144,224676,25,1
6021,GLENN,293,288,289,2,0,1,3.54,2014,85849,82944,4,0
6023,HUMBOLDT,1458,1160,1168,142,2,58,43.07,2010,2125764,1345600,20164,4
6023,HUMBOLDT,1479,1179,1182,147,3,15,11.09,2011,2187441,1390041,21609,9
6023,HUMBOLDT,1505,1215,1208,165,2,1,.74,2012,2265025,1476225,27225,4
6023,HUMBOLDT,1539,1206,1225,163,1,5,3.71,2013,2368521,1454436,26569,1
6023,HUMBOLDT,1530,1250,1238,158,6,140,103.84,2014,2340900,1562500,24964,36
6025,IMPERIAL,2880,2767,2757,11,4,9,5.13,2010,8294400,7656289,121,16
6025,IMPERIAL,2740,2650,2659,7,1,3,1.69,2011,7507600,7022500,49,1
6025,IMPERIAL,2720,2618,2630,4,1,8,4.49,2012,7398400,6853924,16,1
6025,IMPERIAL,2939,2848,2859,18,2,3,1.68,2013,8637721,8111104,324,4
6025,IMPERIAL,3086,2950,2982,12,3,10,5.58,2014,9523396,8702500,144,9
6027,INYO,199,194,194,4,0,8,43.17,2010,39601,37636,16,0
6027,INYO,226,222,222,4,0,0,0,2011,51076,49284,16,0
6027,INYO,207,201,201,3,2,1,5.29,2012,42849,40401,9,4
6027,INYO,188,182,183,2,2,0,0,2013,35344,33124,4,4
6027,INYO,233,227,227,5,0,0,0,2014,54289,51529,25,0
6029,KERN,14406,13204,13125,229,57,376,44.7,2010,207532836,174345616,52441,3249
6029,KERN,15067,14234,14283,269,93,49,5.77,2011,227014489,202606756,72361,8649
6029,KERN,15722,14993,15030,272,120,2,.23,2012,247181284,224790049,73984,14400
6029,KERN,16145,15187,15286,426,87,31,3.58,2013,260661025,230644969,181476,7569
6029,KERN,16031,15223,15297,279,93,156,17.99,2014,256992961,231739729,77841,8649
6031,KINGS,2612,2547,2535,33,5,26,17.03,2010,6822544,6487209,1089,25
6031,KINGS,2567,2465,2481,47,2,7,4.61,2011,6589489,6076225,2209,4
6031,KINGS,2500,2443,2457,18,1,0,0,2012,6250000,5968249,324,1
6031,KINGS,2753,2694,2702,24,1,2,1.33,2013,7579009,7257636,576,1
6031,KINGS,2705,2630,2658,22,4,15,9.97,2014,7317025,6916900,484,16
6033,LAKE,751,689,687,20,2,5,7.74,2010,564001,474721,400,4
6033,LAKE,716,638,640,23,1,3,4.66,2011,512656,407044,529,1
6033,LAKE,720,641,639,38,0,2,3.11,2012,518400,410881,1444,0
6033,LAKE,813,720,727,40,1,3,4.66,2013,660969,518400,1600,1
6033,LAKE,835,770,778,39,0,4,6.21,2014,697225,592900,1521,0
6035,LASSEN,292,266,263,3,0,1,2.85,2010,85264,70756,9,0
6035,LASSEN,329,288,290,24,0,0,0,2011,108241,82944,576,0
6035,LASSEN,345,295,294,21,0,0,0,2012,119025,87025,441,0
6035,LASSEN,367,326,326,17,0,0,0,2013,134689,106276,289,0
6035,LASSEN,350,300,300,27,0,5,15.28,2014,122500,90000,729,0
6037,LOS ANGELES,122736,113986,113430,1898,137,1303,14.12,2010,15064125696,12992808196,3602404,18769
6037,LOS ANGELES,129954,119957,120340,2109,146,612,6.61,2011,16888042116,14389681849,4447881,21316
6037,LOS ANGELES,131102,119678,119748,2419,193,209,2.24,2012,17187734404,14322823684,5851561,37249
6037,LOS ANGELES,130054,118833,119421,2865,218,342,3.63,2013,16914042916,14121281889,8208225,47524
6037,LOS ANGELES,129494,115757,116885,2074,169,1906,20.25,2014,16768696036,13399683049,4301476,28561
6039,MADERA,2280,2204,2192,25,1,120,79.3,2010,5198400,4857616,625,1
6039,MADERA,2564,2429,2432,40,0,8,5.26,2011,6574096,5900041,1600,0
6039,MADERA,2536,2405,2411,57,2,0,0,2012,6431296,5784025,3249,4
6039,MADERA,2750,2622,2630,56,1,10,6.53,2013,7562500,6874884,3136,1
6039,MADERA,2229,2098,2118,44,5,46,30.06,2014,4968441,4401604,1936,25
6041,MARIN,3270,2832,2819,231,7,351,138.9,2010,10692900,8020224,53361,49
6041,MARIN,3313,2738,2734,222,0,26,10.22,2011,10975969,7496644,49284,0
6041,MARIN,3389,2910,2891,261,2,5,1.97,2012,11485321,8468100,68121,4
6041,MARIN,3409,2895,2908,257,3,184,71.91,2013,11621281,8381025,66049,9
6041,MARIN,3290,2886,2929,211,6,264,103.17,2014,10824100,8328996,44521,36
6043,MARIPOSA,293,242,232,9,0,10,54.96,2010,85849,58564,81,0
6043,MARIPOSA,149,131,134,8,0,1,5.56,2011,22201,17161,64,0
6043,MARIPOSA,115,96,99,12,1,0,0,2012,13225,9216,144,1
6043,MARIPOSA,111,90,84,13,0,0,0,2013,12321,8100,169,0
6043,MARIPOSA,157,128,130,23,0,0,0,2014,24649,16384,529,0
6045,MENDOCINO,1087,936,944,70,1,27,30.71,2010,1181569,876096,4900,1
6045,MENDOCINO,1036,890,893,79,3,3,3.41,2011,1073296,792100,6241,9
6045,MENDOCINO,1079,921,901,89,6,0,0,2012,1164241,848241,7921,36
6045,MENDOCINO,1139,887,887,97,2,6,6.77,2013,1297321,786769,9409,4
6045,MENDOCINO,1157,971,984,66,3,10,11.28,2014,1338649,942841,4356,9
6047,MERCED,4478,4293,4245,24,4,131,51.19,2010,20052484,18429849,576,16
6047,MERCED,4762,4605,4623,32,3,27,10.42,2011,22676644,21206025,1024,9
6047,MERCED,4743,4565,4593,43,9,0,0,2012,22496049,20839225,1849,81
6047,MERCED,4855,4661,4691,52,5,1,.38,2013,23571025,21724921,2704,25
6047,MERCED,5178,5003,5041,51,2,9,3.42,2014,26811684,25030009,2601,4
6049,MODOC,114,108,108,2,0,0,0,2010,12996,11664,4,0
6049,MODOC,122,99,105,3,1,0,0,2011,14884,9801,9,1
6049,MODOC,109,102,101,4,0,0,0,2012,11881,10404,16,0
6049,MODOC,137,124,124,8,1,0,0,2013,18769,15376,64,1
6049,MODOC,104,98,99,3,0,6,64.74,2014,10816,9604,9,0
6051,MONO,145,140,137,4,0,18,126.43,2010,21025,19600,16,0
6051,MONO,130,128,128,2,0,2,13.98,2011,16900,16384,4,0
6051,MONO,136,128,128,5,2,21,146.07,2012,18496,16384,25,4
6051,MONO,126,116,117,9,0,2,14.11,2013,15876,13456,81,0
6051,MONO,136,121,121,15,0,0,0,2014,18496,14641,225,0
6053,MONTEREY,6585,6277,6259,75,11,132,31.71,2010,43362225,39400729,5625,121
6053,MONTEREY,6814,6480,6490,69,9,38,9.05,2011,46430596,41990400,4761,81
6053,MONTEREY,6620,6277,6273,94,9,17,4.03,2012,43824400,39400729,8836,81
6053,MONTEREY,6964,6444,6438,114,6,49,11.54,2013,48497296,41525136,12996,36
6053,MONTEREY,6938,6288,6305,110,8,126,29.67,2014,48135844,39538944,12100,64
6055,NAPA,1700,1610,1608,41,2,25,18.28,2010,2890000,2592100,1681,4
6055,NAPA,1758,1659,1659,49,3,11,7.99,2011,3090564,2752281,2401,9
6055,NAPA,1681,1592,1594,61,0,6,4.35,2012,2825761,2534464,3721,0
6055,NAPA,1705,1596,1605,63,0,13,9.35,2013,2907025,2547216,3969,0
6055,NAPA,1883,1785,1794,61,3,136,97.77,2014,3545689,3186225,3721,9
6057,NEVADA,758,583,592,132,1,23,23.32,2010,574564,339889,17424,1
6057,NEVADA,738,540,542,145,0,2,2.03,2011,544644,291600,21025,0
