"COUNTY","SCHOOL","school_code"
"ALAMEDA","ALTAMONT CREEK ELEM",1001
"ALAMEDA","NORTH OAKLAND COMMUNI",1002
"ALAMEDA","WOODLAND ELEM",1003
"ALAMEDA","MONTESSORI PRESCHOOL",1501
"CONTRA COSTA","DIABLO VISTA",7001
"FRESNO","GREENBURG ELEM",10002
"FRESNO","CENTURY ELEM",10003
"FRESNO","QUAIL LAKE CHARTER C/",10007
"IMPERIAL","T L WAGGONER ELEMENTA",13001
"KERN","MORNINGSIDE",15001
"KERN","LITTLE RED SCHOOL HOU",15501
"KERN","LITTLE RED SCHOOL HOU",15502
"KERN","LITTLE RED SCHOOL HOU",15561
"LOS ANGELES","CANYON EARLY LRNG CT",19003
"LOS ANGELES","RUSSELL ELEM",19004
"LOS ANGELES","OBREGON (EUGENE) ELEM",19005
"LOS ANGELES","RICHMOND ST ELEM",19006
"LOS ANGELES","PRIMARY ACADEMY",19008
"LOS ANGELES","KORNBLUM ELEM",19010
"LOS ANGELES","JEFFERSON ELEM",19011
"LOS ANGELES","BUENA VISTA",19012
"LOS ANGELES","VALERIO PRIMARY CTR",19013
"LOS ANGELES","BELL/CUDAHY PRIMARY C",19014
"LOS ANGELES","VIEW PARK CHARTER",19015
"ORANGE","KINOSHITA ELEM",30001
"ORANGE","TIJERAN ELEM",30002
"ORANGE","NEWPORT COAST ELEM",30003
"ORANGE","CARDEN LOS ALIJOS",30501
"PLACER","FIRST STREET SCHOOL",31001
"RIVERSIDE","HILLTOP CHRISTIAN SCH",33501
"SACRAMENTO","NATOMAS PARK ELEMENTA",34001
"SACRAMENTO","RAYMOND CASE",34002
"SACRAMENTO","STONE LAKE ELEMENTARY",34003
"SAN BERNARDINO","MOUNTAIN VIEW MONTESS",36001
"ALAMEDA","ITALO M BERNT SCHOOL",36002
"SAN BERNARDINO","CECILIA L SOLORIO ELE",36003
"SAN DIEGO","GREEKSIDE",37001
"SAN DIEGO","EL CAMINO CREEK",37002
"SAN DIEGO","KWACHUYAO",37003
"SAN DIEGO","THE GROWING PLACE MON",37504
"SAN JOAQUIN","LODI CHARTER SCHOOL",39002
"SAN JOAQUIN","MONTESSORI OF TRACY",39501
"SAN MATEO","REDWOOD INTERNATIONAL",41502
"SANTA BARBARA","CESAR CHAVEZ ELEMENTA",42001
"SANTA BARBARA","TAYLOR (IDA REDMOND)",42002
"SANTA CLARA","JAMES F SMITH",43001
"SANTA CLARA","BARRETT ELEMENTARY",43002
"SANTA CLARA","CANOAS ELEM",43003
"STANISLAUS","MONTESSORI OF MODESTO",50501
"MADERA","SHERMAN THOMAS CHARTER",100016
"EL DORADO","OAK MEADOW ELEMENTARY",100024
"TUOLUMNE","CALIFORNIA VIRTUAL AC",100099
"SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107
"SAN BERNARDINO","MONTERA ELEMENTARY",100115
"ALAMEDA","EAST OAKLAND LEADERSHIP ACADEMY",100123
"RIVERSIDE","DR REYNOLDO J CARREON",100164
"SAN JOAQUIN","BUSH ELEMENTARY",100206
"RIVERSIDE","LAS PALMITAS ELEMENTARY",100248
"LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289
"LOS ANGELES","CORNERSTONE PREP CHAR",100297
"SAN BERNARDINO","ALMOND ELEMENTARY",100347
