"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","ALAMEDA","ALTAMONT CREEK ELEM",1001,103,101,102,102,1,0,2000
"PUBLIC","ALAMEDA","NORTH OAKLAND COMMUNI",1002,11,9,8,8,0,0,2000
"PUBLIC","ALAMEDA","WOODLAND ELEM",1003,45,38,39,39,0,0,2000
"PRIVATE","ALAMEDA","MONTESSORI PRESCHOOL",1501,30,30,28,30,0,0,2001
"PRIVATE","ALAMEDA","MONTESSORI PRESCHOOL",1501,23,11,23,23,0,0,2000
"PRIVATE","ALAMEDA","MONTESSORI PRESCHOOL",1501,18,16,16,17,0,0,2002
"PRIVATE","ALAMEDA","MONTESSORI PRESCHOOL",1501,21,20,20,20,0,0,2003
"PUBLIC","CONTRA COSTA","DIABLO VISTA",7001,157,155,154,155,2,0,2000
"PUBLIC","FRESNO","GREENBURG ELEM",10002,174,165,141,152,0,0,2000
"PUBLIC","FRESNO","CENTURY ELEM",10003,95,95,94,95,0,0,2000
"PUBLIC","FRESNO","QUAIL LAKE CHARTER C/",10007,20,20,20,20,0,0,2000
"PUBLIC","IMPERIAL","T L WAGGONER ELEMENTA",13001,74,74,74,74,0,0,2000
"PUBLIC","KERN","MORNINGSIDE",15001,80,79,80,80,0,0,2000
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15501,36,36,36,36,0,0,2004
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15501,23,23,23,23,0,0,2000
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15501,26,25,25,25,0,0,2003
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15501,32,29,30,30,0,0,2002
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15501,31,31,30,30,0,0,2001
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15502,12,12,12,12,0,0,2001
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15502,10,10,10,10,0,0,2000
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,41,41,41,41,0,0,2012
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,34,33,33,33,1,0,2005
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,42,42,42,42,0,0,2009
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,33,32,32,32,1,0,2008
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,46,46,46,46,0,0,2010
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,26,26,26,26,0,0,2006
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,38,36,36,36,2,0,2007
"PRIVATE","KERN","LITTLE RED SCHOOL HOU",15561,35,30,29,29,0,0,2011
"PUBLIC","LOS ANGELES","CANYON EARLY LRNG CT",19003,220,220,217,218,0,0,2000
"PUBLIC","LOS ANGELES","RUSSELL ELEM",19004,188,157,154,156,0,0,2007
"PUBLIC","LOS ANGELES","OBREGON (EUGENE) ELEM",19005,28,28,28,28,0,0,2000
"PUBLIC","LOS ANGELES","OBREGON (EUGENE) ELEM",19005,32,31,31,32,0,0,2001
"PUBLIC","LOS ANGELES","RICHMOND ST ELEM",19006,100,98,97,98,0,1,2000
"PUBLIC","LOS ANGELES","PRIMARY ACADEMY",19008,264,255,249,255,0,0,2000
"PUBLIC","LOS ANGELES","KORNBLUM ELEM",19010,165,163,159,163,0,0,2000
"PUBLIC","LOS ANGELES","JEFFERSON ELEM",19011,73,73,73,73,0,0,2000
"PUBLIC","LOS ANGELES","BUENA VISTA",19012,10,10,10,10,0,0,2001
"PUBLIC","LOS ANGELES","VALERIO PRIMARY CTR",19013,126,122,121,121,1,0,2000
"PUBLIC","LOS ANGELES","BELL/CUDAHY PRIMARY C",19014,61,57,57,58,0,0,2000
"PUBLIC","LOS ANGELES","VIEW PARK CHARTER",19015,41,35,36,37,0,0,2000
"PUBLIC","ORANGE","KINOSHITA ELEM",30001,118,108,110,109,4,0,2000
